SL. No,JOURNAL TITLE,SPECIMEN,SHAPE CODE,Boundary condition,Loading condition,Fy,Fu,E,ν,t,L,bw,bf1,bf2,bl1,bl2,q,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,Ultimate  Buckiling Strength (Mtest),Ultimate  Buckiling Strength (MFEM),Failure Mode,AISI,Eurocode 3,AS/NZS,y,y_from_fem,inconsistent_no_hole_metadata,inconsistent_sx_for_single_hole,geometry_signature,outlier_y_iqr
19," Chen et al.,2020",240-L4000-EH1-1,C,Pinned and roller,four point loading,332.8,420.5,200000,0.3,1.86,4001.5,240.5,44.5,44.5,15.5,15.5,13,5.58,circle,,,69.75,1,120.25,2000,,12.9,13.6,Distortional,,,,12.9,False,False,False,21c5656ccc902e34b40e1cb6e4d2c4e5,False
20," Chen et al.,2020",240-L4000-EH1-2,C,Pinned and roller,four point loading,332.8,431.8,200000,0.3,1.83,4000.5,239.5,45.2,45.2,15,15,13,5.49,circle,,,70.4,2,119.75,2000,240,12.9,13.6,Distortional,,,,12.9,False,False,False,fbadedc4a6c28a411774f0b0dbe183cb,False
21," Chen et al.,2020",240-L4000-EH1-3,C,Pinned and roller,four point loading,332.8,420.5,200000,0.3,1.85,4002.3,240.8,45.5,45.5,14.8,14.8,13,5.55,circle,,,70.3,3,120.4,2000,240,12.8,13.6,Distortional,,,,12.8,False,False,False,4777abcb493f8fe61d8b75b01f09ae91,False
22," Chen et al.,2020",240-L4000-EH3,C,Pinned and roller,four point loading,332.8,431.8,200000,0.3,1.8,4001.9,240.2,44.9,44.9,14.9,14.9,13,5.4,circle,,,70.8,3,120.1,2000,240,13.3,13.46,Distortional,,,,13.3,False,False,False,6b5491537733ade97a4a2316956ec6e5,False
23," Chen et al.,2020",240-L4000-EH5,C,Pinned and roller,four point loading,332.8,420.5,200000,0.3,1.81,4000.5,240.6,44.7,44.7,15.7,15.7,13,5.43,circle,,,70.5,5,120.3,2000,190,13.7,13.18,Distortional,,,,13.7,False,False,False,2ae186db9c82b5c36fe89305afaff585,False
24," Chen et al.,2020",290-L4000-EH1,C,Pinned and roller,four point loading,330.7,415.8,200000,0.3,2.13,4001.8,290.8,45.8,45.8,15.2,15.2,13,6.39,circle,,,69.75,1,145.4,2000,,19.3,20.09,Distortional,,,,19.3,False,False,False,83474e6ae4bc4605d92ae82c234ebe81,False
25," Chen et al.,2020",290-L4000-EH3,C,Pinned and roller,four point loading,330.7,430.5,200000,0.3,2.15,4001.5,290.3,45.9,45.9,14.9,14.9,13,6.45,circle,,,69.8,3,145.15,2000,240,19.8,21.03,Distortional,,,,19.8,False,False,False,dbf80eeddb3514675b8319c59d6430d4,False
26," Chen et al.,2020",290-L4000-EH5,C,Pinned and roller,four point loading,330.7,415.8,200000,0.3,2.1,4000.8,291.2,46,46,15.8,15.8,13,6.3,circle,,,70.25,5,145.6,2000,190,20.5,21.29,Distortional,,,,20.5,False,False,False,71d02bc30d28160ae57aca8363e19171,False
27," Chen et al.,2020",240-L4000-UH1,C,Pinned and roller,four point loading,332.8,430.5,200000,0.3,1.82,4002.3,241.6,45.6,45.6,15.6,15.6,,5.46,circle,,,70.75,1,120.8,2000,,11,12.06,Distortional and local,,,,11.0,False,False,False,448ce8d75d405a3dd31a6073e8ef1367,False
28," Chen et al.,2020",240-L4000-UH3,C,Pinned and roller,four point loading,332.8,415.8,200000,0.3,1.8,4000.7,239.8,45.3,45.3,15.3,15.3,,5.4,circle,,,70.4,3,119.9,2000,240,10.6,11.8,Distortional and local,,,,10.6,False,False,False,5c4af11e2ec38aa985641654ae416859,False
