SL. No,JOURNAL TITLE,SPECIMEN,SHAPE CODE,Boundary condition,Loading condition,Fy,Fu,E,ν,t,L,bw,bf1,bf2,bl1,bl2,q,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,Ultimate  Buckiling Strength (Mtest),Ultimate  Buckiling Strength (MFEM),Failure Mode,AISI,Eurocode 3,AS/NZS,y,y_from_fem,inconsistent_no_hole_metadata,inconsistent_sx_for_single_hole,geometry_signature,outlier_y_iqr
85,Oruç 1 2025,NH_1.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1.5,4470,180,64,64,28,28,,4.5,no_hole,,,,,,,,,8,Local buckling,8.5,,,8.0,True,False,False,6af8292854651b48a0a089211e7f26e0,False
86,Oruç 1 2025,NH_2.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2.5,4470,180,64,64,28,28,,7.5,no_hole,,,,,,,,,15.19,Local buckling,14.59,,,15.19,True,False,False,2b84f66ac5a985b3782ec899d38a120a,False
87,Oruç 1 2025,NH_3,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3,4470,180,64,64,28,28,,9,no_hole,,,,,,,,,18.78,Local buckling,17.29,,,18.78,True,False,False,a16fb47fa2e6119056172fff9689bf7a,False
88,Oruç 1 2025,NH_3.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3.5,4470,180,64,64,28,28,,10.5,no_hole,,,,,,,,,22.52,Local buckling,19.93,,,22.52,True,False,False,64457b8e562dcab2c8643efebd297f7d,False
89,Oruç 1 2025,NH_4,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,4,4470,180,64,64,28,28,,12,no_hole,,,,,,,,,26.26,Local buckling,22.49,,,26.26,True,False,False,5498534260c01e6b26de4a7981685cbd,False
90,Oruç 1 2025,SQR_1_0.42_0_0.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,0.5,4470,180,64,64,28,28,,1.5,square,75,75,,1,90,687.5,,,1.47,Local buckling,1.26,,,1.47,True,False,False,8d7a4e894d55095a56f908db2bddc891,False
91,Oruç 1 2025,SQR_1_0.42_0_1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1,4470,180,64,64,28,28,,3,square,75,75,,1,90,687.5,,,4.42,Local buckling,4.03,,,4.42,True,False,False,0c01e483d1fdfb5367057ae220df583d,False
92,Oruç 1 2025,SQR_1_0.42_0_1.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1.5,4470,180,64,64,28,28,,4.5,square,75,75,,1,90,687.5,,,7.95,Local buckling,7.68,,,7.95,True,False,False,e93216c23c483e5cb615bcea6b11c629,False
93,Oruç 1 2025,SQR_1_0.42_0_2.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2.5,4470,180,64,64,28,28,,7.5,square,75,75,,1,90,687.5,,,15.12,Local buckling,14.27,,,15.12,True,False,False,e92cf3c11dc7df1c169d09b679ba83b9,False
94,Oruç 1 2025,SQR_1_0.42_0_3,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3,4470,180,64,64,28,28,,9,square,75,75,,1,90,687.5,,,18.64,Local buckling,16.91,,,18.64,True,False,False,cc6310f6762ce6556d4b299cb63b612d,False
95,Oruç 1 2025,SQR_1_0.42_0_3.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3.5,4470,180,64,64,28,28,,10.5,square,75,75,,1,90,687.5,,,22.59,Local buckling,19.47,,,22.59,True,False,False,c4025f9e99e6b9cb931d8a00ff538e32,False
96,Oruç 1 2025,SQR_1_0.42_0_4,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,4,4470,180,64,64,28,28,,12,square,75,75,,1,90,687.5,,,25.46,Local buckling,21.97,,,25.46,True,False,False,ca17e0690d506a9fa5676b5ea7d00421,False
97,Oruç 1 2025,SQR_1_0.67_0_0.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,0.5,4470,180,64,64,28,28,,1.5,square,120,120,,1,90,710,,,1.26,Local buckling,1.44,,,1.26,True,False,False,ee22799892d8335f551994298d642f38,False
98,Oruç 1 2025,SQR_1_0.67_0_1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1,4470,180,64,64,28,28,,3,square,120,120,,1,90,710,,,3.92,Local buckling,4.45,,,3.92,True,False,False,0e1fc47ca72108cbde3385ff408a12e6,False
99,Oruç 1 2025,SQR_1_0.67_0_1.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1.5,4470,180,64,64,28,28,,4.5,square,120,120,,1,90,710,,,7.37,Local buckling,8.4,,,7.37,True,False,False,696890d1f56fd505d6e9faa9573019c4,False
100,Oruç 1 2025,SQR_1_0.67_0_2.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2.5,4470,180,64,64,28,28,,7.5,square,120,120,,1,90,710,,,13.38,Local buckling,13.27,,,13.38,True,False,False,7f86517abb5063515fe46366af2333fd,False
101,Oruç 1 2025,SQR_1_0.67_0_3,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3,4470,180,64,64,28,28,,9,square,120,120,,1,90,710,,,16.38,Local buckling,15.7,,,16.38,True,False,False,32f08ea596f3493c695c1ce35e340623,False
102,Oruç 1 2025,SQR_1_0.67_0_3.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3.5,4470,180,64,64,28,28,,10.5,square,120,120,,1,90,710,,,19.27,Local buckling,18.06,,,19.27,True,False,False,3d457e1d6e244833255558f591245e1d,False
103,Oruç 1 2025,SQR_1_0.67_0_4,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,4,4470,180,64,64,28,28,,12,square,120,120,,1,90,710,,,22.24,Local buckling,20.35,,,22.24,True,False,False,5fe8057d47984ec4a3650eb872652dbe,False
104,Oruç 1 2025,SQR_1_0.78_0_0.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,0.5,4470,180,64,64,28,28,,1.5,square,140,140,,1,90,720,,,0.99,Local buckling,1.44,,,0.99,True,False,False,653c271d73c32fcf9ef7d113ffaa693a,False
105,Oruç 1 2025,SQR_1_0.78_0_1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1,4470,180,64,64,28,28,,3,square,140,140,,1,90,720,,,3.79,Local buckling,4.45,,,3.79,True,False,False,fe196d8eeb1628b589954e26a9887f20,False
106,Oruç 1 2025,SQR_1_0.78_0_1.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1.5,4470,180,64,64,28,28,,4.5,square,140,140,,1,90,720,,,6.58,Local buckling,8.4,,,6.58,True,False,False,3796d8a4389435909eaa4b37c5f5c578,False
107,Oruç 1 2025,SQR_1_0.78_0_2.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2.5,4470,180,64,64,28,28,,7.5,square,140,140,,1,90,720,,,12.13,Local buckling,12.49,,,12.13,True,False,False,7c48e301bf2c0a70b1d30328792bd31c,False
108,Oruç 1 2025,SQR_1_0.78_0_3,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3,4470,180,64,64,28,28,,9,square,140,140,,1,90,720,,,14.28,Local buckling,14.77,,,14.28,True,False,False,2facd0147f038821d3b08a6f80e422c0,False
109,Oruç 1 2025,SQR_1_0.78_0_3.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3.5,4470,180,64,64,28,28,,10.5,square,140,140,,1,90,720,,,17.24,Local buckling,16.97,,,17.24,True,False,False,70f6b98f677efb9b611482f7f728cb20,False
110,Oruç 1 2025,SQR_1_0.78_0_4,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,4,4470,180,64,64,28,28,,12,square,140,140,,1,90,720,,,19.93,Local buckling,19,,,19.93,True,False,False,69fc9f59d9aee9de2580e988dcbcb306,False
111,Oruç 1 2025,SQR_1_0.89_0_0.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,0.5,4470,180,64,64,28,28,,1.5,square,160,160,,1,90,730,,,1.01,Local buckling,1.46,,,1.01,True,False,False,1fd409165a46aff86753811e02b8d41e,False
112,Oruç 1 2025,SQR_1_0.89_0_1,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1,4470,180,64,64,28,28,,3,square,160,160,,1,90,730,,,2.69,Local buckling,4.45,,,2.69,True,False,False,0b70e10618517fe44ada3cdfe182581d,False
113,Oruç 1 2025,SQR_1_0.89_0_1.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,1.5,4470,180,64,64,28,28,,4.5,square,160,160,,1,90,730,,,5.14,Local buckling,8.4,,,5.14,True,False,False,34d66b6cd095e694b3a7d816cecf4ac3,False
114,Oruç 1 2025,SQR_1_0.89_0_2.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,2.5,4470,180,64,64,28,28,,7.5,square,160,160,,1,90,730,,,9.47,Local buckling,11.91,,,9.47,True,False,False,0b5e413bb6ffe7a1bd58495311c29eca,False
115,Oruç 1 2025,SQR_1_0.89_0_3,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3,4470,180,64,64,28,28,,9,square,160,160,,1,90,730,,,11.74,Local buckling,14.2,,,11.74,True,False,False,2edf379f2b985778b44862035ab7bc02,False
116,Oruç 1 2025,SQR_1_0.89_0_3.5,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,3.5,4470,180,64,64,28,28,,10.5,square,160,160,,1,90,730,,,14.14,Local buckling,16.46,,,14.14,True,False,False,189b9e5d2c7b5411b96af6e7726e4eab,False
117,Oruç 1 2025,SQR_1_0.89_0_4,C,Pinned and roller,four point loading,326.5,331.2,202800,0.3,4,4470,180,64,64,28,28,,12,square,160,160,,1,90,730,,,16.74,Local buckling,18.69,,,16.74,True,False,False,30b6af14d61eb75611cf466781b344ab,False
118,"Zhao et al., 2019",H200r0d20t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.7,79.6,79.6,19.1,19.1,,6,no_hole,,,,,,,,15.227,15.586,Distortional buckling,,,,15.227,False,False,False,36ca7337e454fbfe520b2da73acd9887,False
119,"Zhao et al., 2019",H200r0d20t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.6,79.8,79.4,19.1,18.9,,6,no_hole,,,,,,,,15.227,15.586,Distortional buckling,,,,15.227,False,False,False,8e1e4da00ae1b8db1c3f421ab9aa7eb9,False
120,"Zhao et al., 2019",H200r0.2d20t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.3,79.3,79.3,19.2,19.1,,6,rectangle,100.1333333,40.06666667,,3,99.65,300.1333333,300.0666667,14.315,14.39,Distortional -local buckling,15.11,,,14.315,False,False,False,7f89dfae3d7bb53ad33c5263a4f577a6,False
121,"Zhao et al., 2019",H200r0.2d20t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.7,79.4,79.5,19.2,19.2,,6,rectangle,100.0666667,40,,3,99.85,300.0666667,300.0333333,14.315,14.39,Distortional -local buckling,15.11,,,14.315,False,False,False,f221044dcaf53b162ae2a832e2b67911,False
122,"Zhao et al., 2019",H200r0.4d20t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.3,79.3,79.4,19.1,19.2,,6,rectangle,99.93333333,79.9,,3,99.65,299.9333333,299.9666667,14.168,14.389,Distortional -local buckling,15.09,,,14.168,False,False,False,b5fd3504f052845382bbc7c6624503fe,False
123,"Zhao et al., 2019",H200r0.4d20t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.4,79.6,79.8,19.4,19.6,,6,rectangle,100.0333333,79.93333333,,3,99.7,300.0333333,300.0166667,14.168,14.389,Distortional -local buckling,15.09,,,14.168,False,False,False,9d926c71938c04c9780e1e6abad02266,False
124,"Zhao et al., 2019",H200r0.6d20t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.4,79.9,79.5,19.5,19.7,,6,rectangle,99.8,119.9333333,,3,99.7,299.8,299.9,13.8,13.656,Distortional -local buckling,15.04,,,13.8,False,False,False,f89240913bfab5a20448ebdedf54cf20,False
125,"Zhao et al., 2019",H200r0.6d20t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.4,79.6,79.6,19.4,19.6,,6,rectangle,99.96666667,119.8666667,,3,99.7,299.9666667,299.9833333,13.8,13.656,Distortional -local buckling,15.04,,,13.8,False,False,False,748f8918ab589ce4a490dc88a09a083c,False
126,"Zhao et al., 2019",H200r0.8d20t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.8,79.3,79.4,19.2,19.3,,6,rectangle,99.8,159.8666667,,3,99.9,299.8,299.9,13.271,12.374,Distortional -local buckling,13.82,,,13.271,False,False,False,06322c5a086d500794da26efc59975da,False
127,"Zhao et al., 2019",H200r0.8d20t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.3,79.3,79.4,19.2,19.2,,6,rectangle,99.93333333,159.9,,3,99.65,299.9333333,299.9666667,13.271,12.374,Distortional -local buckling,13.82,,,13.271,False,False,False,f39d668db8494166b128af54941f5b7d,False
128,"Zhao et al., 2019",H200r0d40t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.4,79.7,79.4,38.9,39.2,,6,no_hole,,,,,,,,17.404,16.852,Local-distortional buckling,,,,17.404,False,False,False,765aa3e6563b346296bb47d1021ee59b,False
129,"Zhao et al., 2019",H200r0d40t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.6,79.3,79.5,39.1,39.2,,6,no_hole,,,,,,,,17.404,16.852,Local-distortional buckling,,,,17.404,False,False,False,068ae09fcf72455eb2228eedd6143d4f,False
130,"Zhao et al., 2019",H200r0.2d40t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.5,79.2,79.4,39.4,39.3,,6,rectangle,100.1,40.06666667,,3,99.75,300.1,300.05,16.684,17.682,Local-distortional buckling,18.24,,,16.684,False,False,False,d1cac1256a4660955a1a3951dc3a630a,False
131,"Zhao et al., 2019",H200r0.2d40t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.4,79.2,79.4,39.4,39.3,,6,rectangle,100.1333333,40.1,,3,99.7,300.1333333,300.0666667,16.684,17.682,Local-distortional buckling,18.24,,,16.684,False,False,False,bf5ffda00e46c04327992482d0449edc,False
132,"Zhao et al., 2019",H200r0.4d40t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.4,80,80,39.4,39.9,,6,rectangle,99.9,79.86666667,,3,99.7,299.9,299.95,16.333,17.429,Local-distortional buckling,17.95,,,16.333,False,False,False,a5b27dcb7ed396823bc4151d72273878,False
133,"Zhao et al., 2019",H200r0.4d40t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.2,80.3,79.8,39.7,39.6,,6,rectangle,99.93333333,79.86666667,,3,99.6,299.9333333,299.9666667,16.333,17.429,Local-distortional buckling,17.95,,,16.333,False,False,False,6fd53fd6ad4438b95a75b57f7f2f7a85,False
134,"Zhao et al., 2019",H200r0.6d40t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.3,79.4,79.3,39.5,39.4,,6,rectangle,99.8,119.8333333,,3,99.65,299.8,299.9,15.154,15.756,Local-distortional buckling,18.03,,,15.154,False,False,False,68387d50c5112462ab94710f6abaef34,False
135,"Zhao et al., 2019",H200r0.6d40t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.5,79.3,79.4,39.4,39.3,,6,rectangle,100.1,120,,3,99.75,300.1,300.05,15.154,15.756,Local-distortional buckling,18.03,,,15.154,False,False,False,98b9cebf94e1f7269d459e9307fc5565,False
136,"Zhao et al., 2019",H200r0.8d40t2.0-1,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,199.8,79.5,79.6,39.4,39.4,,6,rectangle,100,160,,3,99.9,300,300,14.565,13.576,Local-distortional buckling,,,,14.565,False,False,False,fa3c1ef2ac24571a5b7af5426d4aaa11,False
137,"Zhao et al., 2019",H200r0.8d40t2.0-2,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,200.1,79.3,79.4,39.5,39.3,,6,rectangle,99.93333333,159.8333333,,3,100.05,299.9333333,299.9666667,14.565,13.576,Local-distortional buckling,,,,14.565,False,False,False,7c5c4284e888fb4dc64dd92c0a1d29fb,False
138,"Zhao et al., 2019",H180r0.2d20t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,180,80,80,20,20,,6,rectangle,100,36,,3,90,300,300,,11.82,,12.57,,,11.82,True,False,False,40c0930f8be4f89a90af7cb624f4c9dc,False
139,"Zhao et al., 2019",H180r0.4d20t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,180,80,80,20,20,,6,rectangle,100,72,,3,90,300,300,,11.41,,12.56,,,11.41,True,False,False,e6e1a7f62fe54b372d4f496c61bce24c,False
140,"Zhao et al., 2019",H180r0.6d20t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,180,80,80,20,20,,6,rectangle,100,108,,3,90,300,300,,11.08,,11.08,,,11.08,True,False,False,6dce4d0b1aed8783a066887ad98ffe8b,False
141,"Zhao et al., 2019",H180r0.8d20t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,180,80,80,20,20,,6,rectangle,100,144,,3,90,300,300,,10.16,,10.16,,,10.16,True,False,False,73da0ce24ed41d98ff836c1e44304cb1,False
142,"Zhao et al., 2019",H180r0.2d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,180,80,80,20,20,,7.5,rectangle,100,36,,3,90,300,300,,16.18,,16.72,,,16.18,True,False,False,62b4ea8ca4f1e7fe657c57bbc3cbc259,False
143,"Zhao et al., 2019",H180r0.4d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,180,80,80,20,20,,7.5,rectangle,100,72,,3,90,300,300,,15.52,,16.7,,,15.52,True,False,False,768ec5f2cce05cb578fe63961224705f,False
144,"Zhao et al., 2019",H180r0.6d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,180,80,80,20,20,,7.5,rectangle,100,108,,3,90,300,300,,14.81,,16.36,,,14.81,True,False,False,b7f999729e6e915bd47855a1120a76ce,False
145,"Zhao et al., 2019",H180r0.8d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,180,80,80,20,20,,9,rectangle,100,144,,3,90,300,300,,13.31,,13.92,,,13.31,True,False,False,8af53d577f6911d743bad0cb87e2f7a3,False
146,"Zhao et al., 2019",H180r0.2d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,180,80,80,20,20,,9,rectangle,100,36,,3,90,300,300,,20.24,,20.97,,,20.24,True,False,False,fa224eb49973c3376e79bf28e8b07042,False
147,"Zhao et al., 2019",H180r0.4d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,180,80,80,20,20,,9,rectangle,100,72,,3,90,300,300,,19.39,,20.95,,,19.39,True,False,False,5afab0dcdc0876eee2080b9f8456e8ac,False
148,"Zhao et al., 2019",H180r0.6d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,180,80,80,20,20,,9,rectangle,100,108,,3,90,300,300,,18.29,,19.84,,,18.29,True,False,False,fca74f011145dbb78e2452f03fc6b9ed,False
149,"Zhao et al., 2019",H180r0.8d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,180,80,80,20,20,,9,rectangle,100,144,,3,90,300,300,,16.11,,16.89,,,16.11,True,False,False,8af53d577f6911d743bad0cb87e2f7a3,False
150,"Zhao et al., 2019",H200r0.2d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,200,80,80,20,20,,7.5,rectangle,100,40,,3,100,300,300,,18.37,,18.88,,,18.37,True,False,False,f599ae623b27896ff228bdeea8489245,False
151,"Zhao et al., 2019",H200r0.4d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,200,80,80,20,20,,7.5,rectangle,100,80,,3,100,300,300,,17.61,,18.86,,,17.61,True,False,False,21a9fbeb0442f00ce25fa35c3856c72a,False
152,"Zhao et al., 2019",H200r0.6d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,200,80,80,20,20,,7.5,rectangle,100,120,,3,100,300,300,,16.79,,18.66,,,16.79,True,False,False,95c940314a854819410e3d923ab05cac,False
153,"Zhao et al., 2019",H200r0.8d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,200,80,80,20,20,,7.5,rectangle,100,160,,3,100,300,300,,15.24,,15.87,,,15.24,True,False,False,b68887466919ef91ded4db5d1b00d9be,False
154,"Zhao et al., 2019",H200r0.2d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,200,80,80,20,20,,9,rectangle,100,40,,3,100,300,300,,22.87,,23.67,,,22.87,True,False,False,fdcb93632e9f07cfc87869444c38bd1f,False
155,"Zhao et al., 2019",H200r0.4d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,200,80,80,20,20,,9,rectangle,100,80,,3,100,300,300,,22.04,,23.64,,,22.04,True,False,False,64f15e0c70e96162c74366638a21ce7f,False
156,"Zhao et al., 2019",H200r0.6d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,200,80,80,20,20,,9,rectangle,100,120,,3,100,300,300,,20.79,,22.63,,,20.79,True,False,False,18d2830f276105cd3eb70c4858f1b27f,False
157,"Zhao et al., 2019",H200r0.8d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,200,80,80,20,20,,9,rectangle,100,160,,3,100,300,300,,18.52,,19.26,,,18.52,True,False,False,1e45044e42ea562de72f51fb31eb25de,False
158,"Zhao et al., 2019",H220r0.2d20t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,220,80,80,20,20,,6,rectangle,100,44,,3,110,300,300,,14.99,,15.76,,,14.99,True,False,False,0e4faa563c5f022cdc0501c10fe5f856,False
159,"Zhao et al., 2019",H220r0.4d20t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,220,80,80,20,20,,6,rectangle,100,88,,3,110,300,300,,14.76,,15.74,,,14.76,True,False,False,c7ddd43e7934cc20410b10027a4ef5c8,False
160,"Zhao et al., 2019",H220r0.6d20t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,220,80,80,20,20,,6,rectangle,100,132,,3,110,300,300,,13.95,,15.68,,,13.95,True,False,False,c0aa7f4da5cab867c5511b07f2623365,False
161,"Zhao et al., 2019",H220r0.8d20t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,220,80,80,20,20,,6,rectangle,100,176,,3,110,300,300,,12.93,,13.96,,,12.93,True,False,False,521d7ed45d706f996619df2045b44815,False
162,"Zhao et al., 2019",H220r0.2d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,220,80,80,20,20,,7.5,rectangle,100,44,,3,110,300,300,,20.35,,21.07,,,20.35,True,False,False,92a3d3883c0f23ca4234d14cc236d098,False
163,"Zhao et al., 2019",H220r0.4d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,220,80,80,20,20,,7.5,rectangle,100,88,,3,110,300,300,,19.55,,21.05,,,19.55,True,False,False,456104133934a6c37d52697eb9c1359e,False
164,"Zhao et al., 2019",H220r0.6d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,220,80,80,20,20,,7.5,rectangle,100,132,,3,110,300,300,,18.7,,20.97,,,18.7,True,False,False,1591b004b2c3080d9d0bdf2c8704cc7f,False
165,"Zhao et al., 2019",H220r0.8d20t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,220,80,80,20,20,,7.5,rectangle,100,176,,3,110,300,300,,16.98,,17.87,,,16.98,True,False,False,328f1c71ef8d6e0309a72d738fd6a0c9,False
166,"Zhao et al., 2019",H220r0.2d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,220,80,80,20,20,,9,rectangle,100,44,,3,110,300,300,,25.44,,26.55,,,25.44,True,False,False,5fc7a7e356be9ad3f4e640ab3197270b,False
167,"Zhao et al., 2019",H220r0.4d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,220,80,80,20,20,,9,rectangle,100,88,,3,110,300,300,,24.6,,26.52,,,24.6,True,False,False,d1254b3c1872f9a697c2787a4835e98b,False
168,"Zhao et al., 2019",H220r0.6d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,220,80,80,20,20,,9,rectangle,100,132,,3,110,300,300,,23.21,,25.56,,,23.21,True,False,False,b81c5be9c51698bb78f329624a95213c,False
169,"Zhao et al., 2019",H220r0.8d20t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,220,80,80,20,20,,9,rectangle,100,176,,3,110,300,300,,20.57,,21.75,,,20.57,True,False,False,9129be87475755a0beb1c9a4c50c8ad7,False
170,"Zhao et al., 2019",H180r0.2d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,180,80,80,40,40,,6,rectangle,100,36,,3,90,300,300,,14.56,,15.3,,,14.56,True,False,False,f930edc0d774c54b9122a447ad993648,False
171,"Zhao et al., 2019",H180r0.4d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,180,80,80,40,40,,6,rectangle,100,72,,3,90,300,300,,14.06,,14.87,,,14.06,True,False,False,4f63a4c6d87b986b18c0ca706ef724c9,False
172,"Zhao et al., 2019",H180r0.6d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,180,80,80,40,40,,6,rectangle,100,108,,3,90,300,300,,12.56,,15,,,12.56,True,False,False,917e9509fb92ca5c12dfd3cc38d47756,False
173,"Zhao et al., 2019",H180r0.8d40t2.0,C,Pinned and roller,four point loading,398,544,206000,0.3,2,3600,180,80,80,40,40,,6,rectangle,100,144,,3,90,300,300,,10.83,,15.61,,,10.83,True,False,False,669128f793642a7ee7a123b91176eaa0,False
174,"Zhao et al., 2019",H180r0.2d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,180,80,80,40,40,,7.5,rectangle,100,36,,3,90,300,300,,19.57,,19.8,,,19.57,True,False,False,79041a84f5eeb88feead5c2fbe84cd0f,False
175,"Zhao et al., 2019",H180r0.4d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,180,80,80,40,40,,7.5,rectangle,100,72,,3,90,300,300,,18.89,,19.54,,,18.89,True,False,False,175bff898b7d4d9043a7a0acaef1cc19,False
176,"Zhao et al., 2019",H180r0.6d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,180,80,80,40,40,,7.5,rectangle,100,108,,3,90,300,300,,16.96,,18.83,,,16.96,True,False,False,74245a9f65772b6d27897d5d15856ea8,False
177,"Zhao et al., 2019",H180r0.8d40t2.5,C,Pinned and roller,four point loading,398,544,206000,0.3,2.5,3600,180,80,80,40,40,,7.5,rectangle,100,144,,3,90,300,300,,14.89,,17.46,,,14.89,True,False,False,2af698cbfbfefe28ede04be34c3150ae,False
178,"Zhao et al., 2019",H180r0.2d40t3.0,C,Pinned and roller,four point loading,398,544,206000,0.3,3,3600,180,80,80,40,40,,9,rectangle,100,36,,3,90,300,300,,24.45,,23.51,,,24.45,True,False,False,1b7d2bfdd5ce7907c31394b37e00dccf,False
