SL. No,SPECIMEN,JOURNAL TITLE,geometry_signature,y,y_from_fem,replicate_count
60,SQR_1_0.89_327_2,Oruç 1 2025,11e5643d2078b0dbb2f55fe74a9494ff,7.62,True,1
61,SQR_1_0.89_205_2,Oruç 1 2025,d16d39d90d83990b7c59fec415c21a11,7.53,True,1
62,SQR_1_0.89_132_2,Oruç 1 2025,c1ffbf0419aeba93b2a1631704a242a9,7.74,True,1
64,REC_0.5_0.42_0_2,Oruç 1 2025,1780b905cdc1eec8079000dbbc3afeb7,11.49,True,1
65,REC_0.25_0.42_0_2,Oruç 1 2025,071d88582766ac2d457112edb3cdde2a,11.42,True,1
66,REC_0.125_0.42_0_2,Oruç 1 2025,48b3d94525f179c545695c19f46f749a,9.66,True,1
67,REC_0.062_0.42_0_2,Oruç 1 2025,117924ca09cf62a6681f91b4510207d1,7.79,True,1
68,REC_1.6_0.67_0_2,Oruç 1 2025,6fc1ff44f5b252a78b577420cb1f0ace,10.51,True,1
69,REC_0.8_0.67_0_2,Oruç 1 2025,f77b6618f84609e2bf629e737aac2b81,10.43,True,1
70,REC_0.4_0.67_0_2,Oruç 1 2025,386ed6bb1864da1fcc1b08a72bd44ee6,10.21,True,1
71,REC_0.2_0.67_0_2,Oruç 1 2025,0218c422191c1e3a7aef83b2ef029cd9,9.17,True,1
72,REC_0.1_0.67_0_2,Oruç 1 2025,1ebe50cc131866591957cfa58a388c84,5.93,True,1
73,REC_1.87_0.78_0_2,Oruç 1 2025,d9ad08be03447d09e8ef1eae6b2559a3,9.39,True,1
74,REC_0.93_0.78_0_2,Oruç 1 2025,00bde8bb63cc6e6f011903e60708633e,9.22,True,1
75,REC_0.47_0.78_0_2,Oruç 1 2025,a161b1dae0da28ecbb1a272adb2086fd,8.72,True,1
76,REC_0.23_0.78_0_2,Oruç 1 2025,1a68b5a3c8c5a6a524ae55396f745000,7.54,True,1
77,REC_0.12_0.78_0_2,Oruç 1 2025,c03efe577fbf988e5497da6b10779188,3.96,True,1
78,REC_2.13_0.89_0_2,Oruç 1 2025,ecb209c01e376ef6e3a1ac7da9a72987,8.03,True,1
79,REC_1.07_0.89_0_2,Oruç 1 2025,57fb3328ce1f3977540dd191b0669664,7.49,True,1
80,REC_0.53_0.89_0_2,Oruç 1 2025,135c827de4c0de62be3e2d0558a446b3,6.46,True,1
81,REC_0.27_0.89_0_2,Oruç 1 2025,f97de7d3e6ff444bae1c134e1b3787c1,4.61,True,1
82,REC_0.13_0.89_0_2,Oruç 1 2025,532b8b6f6b363b33c311c43184b67480,2.39,True,1
83,NH_0.5,Oruç 1 2025,f63a3a04049efe6046235302ff8fd69f,2.25,True,1
84,NH_1,Oruç 1 2025,7f7fbff0c6260924b630d0682be43187,4.38,True,1
85,NH_1.5,Oruç 1 2025,6af8292854651b48a0a089211e7f26e0,8.0,True,1
86,NH_2.5,Oruç 1 2025,2b84f66ac5a985b3782ec899d38a120a,15.19,True,1
87,NH_3,Oruç 1 2025,a16fb47fa2e6119056172fff9689bf7a,18.78,True,1
88,NH_3.5,Oruç 1 2025,64457b8e562dcab2c8643efebd297f7d,22.52,True,1
89,NH_4,Oruç 1 2025,5498534260c01e6b26de4a7981685cbd,26.26,True,1
90,SQR_1_0.42_0_0.5,Oruç 1 2025,8d7a4e894d55095a56f908db2bddc891,1.47,True,1
91,SQR_1_0.42_0_1,Oruç 1 2025,0c01e483d1fdfb5367057ae220df583d,4.42,True,1
92,SQR_1_0.42_0_1.5,Oruç 1 2025,e93216c23c483e5cb615bcea6b11c629,7.95,True,1
93,SQR_1_0.42_0_2.5,Oruç 1 2025,e92cf3c11dc7df1c169d09b679ba83b9,15.12,True,1
94,SQR_1_0.42_0_3,Oruç 1 2025,cc6310f6762ce6556d4b299cb63b612d,18.64,True,1
95,SQR_1_0.42_0_3.5,Oruç 1 2025,c4025f9e99e6b9cb931d8a00ff538e32,22.59,True,1
96,SQR_1_0.42_0_4,Oruç 1 2025,ca17e0690d506a9fa5676b5ea7d00421,25.46,True,1
97,SQR_1_0.67_0_0.5,Oruç 1 2025,ee22799892d8335f551994298d642f38,1.26,True,1
98,SQR_1_0.67_0_1,Oruç 1 2025,0e1fc47ca72108cbde3385ff408a12e6,3.92,True,1
99,SQR_1_0.67_0_1.5,Oruç 1 2025,696890d1f56fd505d6e9faa9573019c4,7.37,True,1
100,SQR_1_0.67_0_2.5,Oruç 1 2025,7f86517abb5063515fe46366af2333fd,13.38,True,1
101,SQR_1_0.67_0_3,Oruç 1 2025,32f08ea596f3493c695c1ce35e340623,16.38,True,1
102,SQR_1_0.67_0_3.5,Oruç 1 2025,3d457e1d6e244833255558f591245e1d,19.27,True,1
103,SQR_1_0.67_0_4,Oruç 1 2025,5fe8057d47984ec4a3650eb872652dbe,22.24,True,1
104,SQR_1_0.78_0_0.5,Oruç 1 2025,653c271d73c32fcf9ef7d113ffaa693a,0.99,True,1
105,SQR_1_0.78_0_1,Oruç 1 2025,fe196d8eeb1628b589954e26a9887f20,3.79,True,1
106,SQR_1_0.78_0_1.5,Oruç 1 2025,3796d8a4389435909eaa4b37c5f5c578,6.58,True,1
107,SQR_1_0.78_0_2.5,Oruç 1 2025,7c48e301bf2c0a70b1d30328792bd31c,12.13,True,1
108,SQR_1_0.78_0_3,Oruç 1 2025,2facd0147f038821d3b08a6f80e422c0,14.28,True,1
