JOURNAL TITLE,geometry_signature,Fy,Fu,E,t,L,bw,bf1,bf2,bl1,bl2,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,target_mean,target_std,replicate_count
Oruç 1 2025,b6390c9ef2ee59ea79eea941724d212f,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,100,100,,2,90,325,450,9.98,,1
Oruç 1 2025,c03efe577fbf988e5497da6b10779188,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,1200,140,,1,90,1250,,3.96,,1
Oruç 1 2025,c1ffbf0419aeba93b2a1631704a242a9,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,160,160,,4,90,212,292,7.74,,1
Oruç 1 2025,c4025f9e99e6b9cb931d8a00ff538e32,326.5,331.2,202800,3.5,4470,180,64,64,28,28,10.5,square,75,75,,1,90,687.5,,22.59,,1
Oruç 1 2025,c72869403ce884760b8ea93f0ea4ac90,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,120,120,,2,90,413.5,473,10.5,,1
Oruç 1 2025,c95fcf952276ccdbfb11e5035cebe7ac,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,140,140,,1,90,720,,9.33,,1
Oruç 1 2025,ca17e0690d506a9fa5676b5ea7d00421,326.5,331.2,202800,4,4470,180,64,64,28,28,12,square,75,75,,1,90,687.5,,25.46,,1
Oruç 1 2025,cb11642709a39c20e31bd0e97a782a24,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,140,140,,2,90,410,460,9.37,,1
Oruç 1 2025,cbb636c8ea467d6dadfef71c50f6f83b,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,160,160,,1,90,730,,7.37,,1
Oruç 1 2025,cc6310f6762ce6556d4b299cb63b612d,326.5,331.2,202800,3,4470,180,64,64,28,28,9,square,75,75,,1,90,687.5,,18.64,,1
Oruç 1 2025,d16d39d90d83990b7c59fec415c21a11,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,160,160,,3,90,285,365,7.53,,1
Oruç 1 2025,d17de73e9c49921ee5dd9f541659e7b0,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,140,140,,3,90,290,340,9.18,,1
Oruç 1 2025,d9ad08be03447d09e8ef1eae6b2559a3,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,75,140,,1,90,687.5,,9.39,,1
Oruç 1 2025,e92cf3c11dc7df1c169d09b679ba83b9,326.5,331.2,202800,2.5,4470,180,64,64,28,28,7.5,square,75,75,,1,90,687.5,,15.12,,1
Oruç 1 2025,e93216c23c483e5cb615bcea6b11c629,326.5,331.2,202800,1.5,4470,180,64,64,28,28,4.5,square,75,75,,1,90,687.5,,7.95,,1
Oruç 1 2025,ecb209c01e376ef6e3a1ac7da9a72987,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,75,160,,1,90,687.5,,8.03,,1
Oruç 1 2025,ee22799892d8335f551994298d642f38,326.5,331.2,202800,0.5,4470,180,64,64,28,28,1.5,square,120,120,,1,90,710,,1.26,,1
Oruç 1 2025,f33b151219c88d75c7b8bf4390a4b483,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,75,75,,4,90,237.5,275,11.53,,1
Oruç 1 2025,f63a3a04049efe6046235302ff8fd69f,326.5,331.2,202800,0.5,4470,180,64,64,28,28,1.5,no_hole,,,,,,,,2.25,,1
Oruç 1 2025,f6c32028d19a17b171e9850697d1769a,326.5,331.2,202800,2,4470,180,64,64,28,28,6,square,50,50,,1,90,650,,11.18,,1
Oruç 1 2025,f77b6618f84609e2bf629e737aac2b81,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,150,120,,1,90,725,,10.43,,1
Oruç 1 2025,f97de7d3e6ff444bae1c134e1b3787c1,326.5,331.2,202800,2,4470,180,64,64,28,28,6,rectangle,600,160,,1,90,950,,4.61,,1
Oruç 1 2025,fe196d8eeb1628b589954e26a9887f20,326.5,331.2,202800,1,4470,180,64,64,28,28,3,square,140,140,,1,90,720,,3.79,,1
"Sadid et al., 2025",0c2df890f923bd0e3dbf5ca2bae5d76d,235.9,295,196000,6.2,2400,240,120,120,12.7,12.7,5.67,circle,,,68.5,8,120,360,205,76.2,,1
"Sadid et al., 2025",402e03a6f2c8e05fdeda626325406515,254.3,295,196000,6.2,2400,240,120,120,12.7,12.7,5.67,circle,,,74,8,120,360,205,73.93,,1
"Sadid et al., 2025",e7d2fa00c0343523f4250608cbdf3696,244.6,295,196000,6.2,2400,240,120,120,12.7,12.7,5.67,circle,,,80,8,120,360,205,72.074,,1
"Sivakumaran et al., 2006",316ba11b1f8bce786f5a2a275c8c4720,324,420,203000,1.89,2743,203.2,41.3,41.3,12.9,12.9,3.78,circle,,,63.7,1,101.6,1371.5,,9.893333333333333,0.16441816606851367,3
"Sivakumaran et al., 2006",b039cc25449c046c8eb2bdcb9f593cae,324,420,203000,1.89,2743,203.2,41.3,41.3,12.9,12.9,3.78,rectangle,254,127,,1,101.6,1371.5,,10.203333333333333,0.17214335111567128,3
"Sivakumaran et al., 2006",c326c2dc5fc96094d55baacc75f0a8a3,324,420,203000,1.89,2743,203.2,41.3,41.3,12.9,12.9,3.78,square,127,127,,1,101.6,1371.5,,10.066666666666668,0.07094598884597615,3
Soroori Rad 2010,705e12c07b31bcec5bf70138f34ecb0c,356,409.4,200000,0.824,4877,203.38,49.05,47.83,11.71,11.66,3.77,no_hole,,,,,,,,5.45,,1
Soroori Rad 2011,00cfd8e4d55bc8a74b4070be2a6f957c,372,427.79999999999995,200000,2.558,4877,305.97,42.55,41.53,12.5,10.59,5.3575,square,152.4,138.4,,3,152.985,1981,457,28.73,,1
Soroori Rad 2011,0315e1329c5d13bb9e8d31b8ef168318,358,411.7,200000,1.338,4877,255.14,41.45,38.38,10.85,11.51,3.87,square,152.4,172.1,,3,127.57,1981,457,10.61,,1
Soroori Rad 2011,0df553b8145b9bde74c1ff50ecb6e244,408,469.2,200000,1.346,4877,255.24,41.05,38.2,11.13,10.13,3.8675,square,152.4,171.9,,3,127.62,1981,457,11.38,,1
Soroori Rad 2011,14cb077c20ebef262e60e60fcac4631e,348,400.2,200000,1.345,4877,255.12,41.68,39.29,11.35,9.88,3.87,square,152.4,150.4,,3,127.56,1981,457,10.97,,1
Soroori Rad 2011,1a2c38b5c4914514fb7490a06dc85adf,367,422.04999999999995,200000,2.559,4877,305.33,42.27,40.84,11.28,12.29,5.26,square,152.4,150,,3,152.665,1981,457,27.5,,1
Soroori Rad 2011,1df5b04dc5e6338d3a031cfd994eb8a5,381,438.15,200000,2.554,4877,305.28,42.77,42.19,12.83,12.65,5.3575,square,152.4,138.9,,3,152.64,1981,457,29.21,,1
Soroori Rad 2011,22528ced53ba9d0eaf9d95130c60f54f,358,411.7,200000,1.347,4877,255.4,41.63,38.05,11.4,10.21,3.87,square,152.4,172,,3,127.7,1981,457,10.84,,1
Soroori Rad 2011,2427c288e6018645b6256de511a2a606,369,424.34999999999997,200000,2.563,4877,301.47,41.73,43.61,10.92,11.96,5.3575,no_hole,,,,,,,,27.79,,1
Soroori Rad 2011,2697c346254f6421bd2a2589defdf612,379,435.84999999999997,200000,2.533,4877,305.21,42.34,42.01,12.47,12.5,5.3575,square,152.4,138.9,,3,152.605,1981,457,27.58,,1
Soroori Rad 2011,27450b77d1c61b5740a3a365d0a22d10,371,426.65,200000,1.336,4877,255.12,41.43,38.46,11.2,10.29,3.87,no_hole,,,,,,,,11.04,,1
Soroori Rad 2011,2aace3eaf7c92ace1aa56548d7e0bbbc,387,445.04999999999995,200000,2.548,4877,305.08,41.94,40.77,11.23,11.96,5.3575,square,152.4,172,,3,152.54,1981,457,27.03,,1
Soroori Rad 2011,2cd786de8a06a406233ddc2051bfadea,325,373.74999999999994,200000,1.093,4877,204.62,48.72,48.87,12.17,11.58,3.5725,square,152.4,104.1,,3,102.31,1981,457,5.57,,1
Soroori Rad 2011,388d27609078f2e6a61a32afa4a88b9f,356,409.4,200000,1.34,4877,255.22,41.1,38.84,11.28,10.08,3.87,square,152.4,150.1,,3,127.61,1981,457,10.67,,1
Soroori Rad 2011,39520a704eed7eecba32806c90a36574,369,424.34999999999997,200000,1.332,4877,255.14,41,38.1,11.38,9.93,4.07,no_hole,,,,,,,,10.6,,1
Soroori Rad 2011,3e954ebf12f00f0690f6916660bc0880,348,400.2,200000,1.343,4877,255.3,41.55,38.89,11.46,10.01,3.97,square,152.4,150.5,,3,127.65,1981,457,11.1,,1
Soroori Rad 2011,40a5921c555160dec5da97762e1a4d0b,364,418.59999999999997,200000,1.334,4877,255.4,41.1,38.53,10.9,10.19,3.67,square,152.4,119.3,,3,127.7,1981,457,11.12,,1
Soroori Rad 2011,44c4f0c71ab418c70da315653c6a003e,369,424.34999999999997,200000,0.83,4877,203.84,48.84,47.96,11.84,11.4,3.6725,square,152.4,131.9,,3,101.92,1981,457,5.55,,1
Soroori Rad 2011,4781086a2f3bc6d8fba4e93657dba767,351,403.65,200000,1.35,4877,255.27,41.05,38.33,11.15,10.31,3.87,square,152.4,150,,3,127.635,1981,457,10.62,,1
Soroori Rad 2011,49b9e9653552316b2fd355fc0dc9feee,380,436.99999999999994,200000,2.565,4877,304.8,41.78,40.13,11.13,12.09,5.3575,square,152.4,150,,3,152.4,1981,457,27.84,,1
Soroori Rad 2011,5110a5350cd217d443bae2a6cdecdc76,355,408.24999999999994,200000,1.341,4877,255.24,41.05,38.51,11.13,10.03,3.87,square,152.4,119.1,,3,127.62,1981,457,11.06,,1
Soroori Rad 2011,520f39b8b86ab00609b718694826886e,363,417.45,200000,2.538,4877,305.26,42.29,40.21,10.26,12.12,5.4575,no_hole,,,,,,,,27.66,,1
Soroori Rad 2011,545767d34ca08f7afc55e7eb53319c88,358,411.7,200000,1.339,4877,255.37,41.71,38.07,11.4,10.39,3.87,no_hole,,,,,,,,10.26,,1
Soroori Rad 2011,6266082af92d23681997bdfdbe35056a,364,418.59999999999997,200000,1.09,4877,204.72,49.3,48.69,12.62,11.15,3.6725,square,152.4,149.9,,3,102.36,1981,457,5.28,,1
Soroori Rad 2011,66a655085eb8df4cae6e7c7f3713f1b8,391,449.65,200000,2.564,4877,305.49,44.32,40.46,11.51,11.13,5.3575,square,152.4,171,,3,152.745,1981,457,28.47,,1
Soroori Rad 2011,68e1ceefdbba1b1a8f7f836f61dbba7b,358,411.7,200000,1.335,4877,255.14,41.28,38.23,11.25,10.01,3.87,no_hole,,,,,,,,10.42,,1
Soroori Rad 2011,6f37abe3f2fff792efc589e6a88d6692,354,407.09999999999997,200000,1.339,4877,255.42,41.25,38.61,10.95,10.11,3.87,square,152.4,119.2,,3,127.71,1981,457,10.93,,1
Soroori Rad 2011,71fc1c7811cef118b1ed201ba9d1d380,395,454.24999999999994,200000,1.339,4877,255.32,41.17,38.58,11.07,10.19,3.87,square,152.4,119.3,,3,127.66,1981,457,11.08,,1
Soroori Rad 2011,754a1c90134ab5b37f9fb06efe0caf3c,388,446.2,200000,2.531,4877,304.98,40.69,42.11,10.87,12.83,5.3575,square,152.4,173,,3,152.49,1981,457,27.61,,1
Soroori Rad 2011,7d56f110c5be10eb37096342cdf4bf85,369,424.34999999999997,200000,2.535,4877,305.1,42.9,40.87,10.85,12.27,5.4575,no_hole,,,,,,,,27.55,,1
Soroori Rad 2011,7fd65aa3d49ac5fc19624d6641364e2d,364,418.59999999999997,200000,2.542,4877,305.13,43.05,41.55,12.42,12.83,5.3575,square,152.4,139.1,,3,152.565,1981,457,27.41,,1
Soroori Rad 2011,80d4a3242c65b5d9519d3089ef1e9c1f,384,441.59999999999997,200000,2.579,4877,305.05,42.04,42.16,11.4,11.1,5.3575,square,152.4,172,,3,152.525,1981,457,28.56,,1
Soroori Rad 2011,86e7681b3f1ab6ffb4db02d7cf30c5fc,322,370.29999999999995,200000,1.096,4877,204.83,49.53,48.21,12.47,11.43,3.4725,square,152.4,131,,3,102.415,1981,457,5.55,,1
Soroori Rad 2011,89a95f49e2af093869d81a1445223ccb,369,424.34999999999997,200000,1.328,4877,255.32,40.97,38.99,11.13,10.39,3.87,no_hole,,,,,,,,10.5,,1
Soroori Rad 2011,8c061792dd22b76e0f24c88cc54a682a,400,459.99999999999994,200000,2.576,4877,305.18,41.86,41.76,11.53,12.47,5.3575,square,152.4,174,,3,152.59,1981,457,29.35,,1
Soroori Rad 2011,91278314a5161f8f34615e9c4fbf7631,362,416.29999999999995,200000,1.106,4877,206.68,48.84,48.39,11.13,11.1,3.575,square,152.4,146.8,,3,103.34,1981,457,5.35,,1
Soroori Rad 2011,915d2b55c5dc472a513619f9a8ebf4e9,359,412.84999999999997,200000,2.552,4877,305.18,42.85,40.59,12.17,11.25,5.36,square,152.4,150,,3,152.59,1981,457,27.1,,1
Soroori Rad 2011,943ef4f81ca3be80110eb0b9f4882378,360,413.99999999999994,200000,0.82,4877,203.71,49.3,47.22,11.46,11.81,3.4775,square,152.4,103.7,,3,101.855,1981,457,5.48,,1
Soroori Rad 2011,957547fbe001f8745f70ae1ebd8324c6,375,431.24999999999994,200000,2.557,4877,305.1,42.09,40.77,11.02,12.01,5.3575,square,152.4,150,,3,152.55,1981,457,27.83,,1
Soroori Rad 2011,958c9b4f9cc40a32d6bd6dbb1efb273b,356,409.4,200000,1.33,4877,255.27,40.94,38.79,10.29,11.25,3.87,square,152.4,150.1,,3,127.635,1981,457,10.56,,1
Soroori Rad 2011,98c16b87c0ee225693e2fefcac3d6bb1,356,409.4,200000,0.827,4877,203.61,49,47.83,11.66,11.51,3.575,no_hole,,,,,,,,5.38,,1
Soroori Rad 2011,99734043a99cd35c482f7849eecdad3f,362,416.29999999999995,200000,1.343,4877,255.35,41.53,39.12,11.3,10.24,3.87,square,152.4,172.1,,3,127.675,1981,457,10.61,,1
Soroori Rad 2011,9e34cfabccd629f8f6a1f34eb4996f2c,369,424.34999999999997,200000,2.532,4877,305.59,42.42,43.51,12.83,11.38,5.3575,square,152.4,139,,3,152.795,1981,457,28.05,,1
Soroori Rad 2011,a9f3de89d71ddd1fd5394acb0cc9063e,369,424.34999999999997,200000,2.543,4877,305.36,42.14,43.08,11.66,10.29,5.3575,square,152.4,138,,3,152.68,1981,457,28.96,,1
Soroori Rad 2011,b4ecdaf1eaf2d0b2580114e6f7bb038f,369,424.34999999999997,200000,1.337,4877,255.45,41.17,38.63,11.23,10.19,3.67,square,152.4,119.5,,3,127.725,1981,457,10.59,,1
Soroori Rad 2011,b5dd7d97af161f3122b1be8da75999a5,363,417.45,200000,1.331,4877,255.32,41.02,38.38,10.95,10.13,3.67,square,152.4,119.2,,3,127.66,1981,457,10.88,,1
Soroori Rad 2011,b84bf9f668a161f6462cc3c47a3c962e,356,409.4,200000,0.827,4877,203.53,49.17,47.65,11.86,11.18,3.6725,no_hole,,,,,,,,5.44,,1
Soroori Rad 2011,bb08ace2a046fd3229652b122d850398,353,405.95,200000,1.343,4877,255.24,41.05,38.2,11.13,10.13,3.87,square,152.4,171.5,,3,127.62,1981,457,10.6,,1
Soroori Rad 2011,bf2cba5a84a9e83270124285ae339f49,322,370.29999999999995,200000,1.093,4877,204.75,49.05,49.02,12.14,11.58,3.4725,square,152.4,131.1,,3,102.375,1981,457,5.55,,1
Soroori Rad 2011,bf8ba4c507baa910a415231ac28728cc,325,373.74999999999994,200000,1.09,4877,204.83,49.02,49.12,12.34,11.56,3.375,square,152.4,104.4,,3,102.415,1981,457,5.48,,1
Soroori Rad 2011,c1a8f6ba59050b40b37bf66a4e085f9b,360,413.99999999999994,200000,1.342,4877,255.04,41.68,38.23,11.28,10.16,3.87,square,152.4,171.8,,3,127.52,1981,457,10.78,,1
Soroori Rad 2011,c1df51f72b630d7b219cd6d6250d1171,367,422.04999999999995,200000,2.556,4877,305.28,42.19,40.34,11.51,12.01,5.4575,no_hole,,,,,,,,27.29,,1
Soroori Rad 2011,c61a1b66dafed5d2bbe4bc1db2f7308d,376,432.4,200000,2.6,4877,305.44,42.62,40.59,11.58,11.96,5.3575,square,152.4,150,,3,152.72,1981,457,26.82,,1
Soroori Rad 2011,c88048f5db1a149fdc990caf91a42937,367,422.04999999999995,200000,0.817,4877,203.89,48.82,47.65,11.63,11.66,3.275,square,152.4,130.9,,3,101.945,1981,457,5.44,,1
Soroori Rad 2011,cdbc88de922c87c44c3cc5d45867d1e7,356,409.4,200000,0.82,4877,203.61,48.77,47.65,11.53,11.13,3.0775,no_hole,,,,,,,,5.64,,1
Soroori Rad 2011,d8be40bf71dcfac371e9cc84b7c3afe5,367,422.04999999999995,200000,0.813,4877,203.48,49.05,47.65,11.79,11.99,3.5725,square,152.4,149.3,,3,101.74,1981,457,5.33,,1
Soroori Rad 2011,df313f4a920d3d87282d61929f24ea28,363,417.45,200000,0.831,4877,203.38,48.79,47.73,11.79,11.61,3.575,square,152.4,148.9,,3,101.69,1981,457,5.5,,1
Soroori Rad 2011,e05ab4a92183e1f2979163ba00773c8e,383,440.45,200000,2.549,4877,305.61,41.35,42.7,11.35,11.76,5.3575,square,152.4,174,,3,152.805,1981,457,28.47,,1
Soroori Rad 2011,e788691828f027e5fa4852dd61e811cd,359,412.84999999999997,200000,2.565,4877,298.02,42.04,41.94,11.53,11.84,5.56,no_hole,,,,,,,,25.9,,1
Soroori Rad 2011,eb965ce75a9a71273152e4404da4ddac,370,425.49999999999994,200000,2.558,4877,305.23,42.04,40.61,11.2,12.5,5.36,no_hole,,,,,,,,27.55,,1
Soroori Rad 2011,eb99189e9461693b025b93d7019082f6,352,404.79999999999995,200000,1.338,4877,255.07,40.89,38.4,11.43,9.98,3.77,square,152.4,150.1,,3,127.535,1981,457,10.56,,1
Soroori Rad 2011,f25c2c065137ae384da4c4b168c5c77c,375,431.24999999999994,200000,2.583,4877,305.08,41.5,40.94,11.51,11.3,4.96,square,152.4,150,,3,152.54,1981,457,27.53,,1
Soroori Rad 2011,fc3803f38d15d18463826b1035c5b84c,368,423.2,200000,1.34,4877,255.3,41.43,38.33,11.25,10.24,3.87,no_hole,,,,,,,,11.11,,1
Soroori Rad 2011,ff71c09048761bd2bda2c7d17cc422d8,356,409.4,200000,0.825,4877,203.86,48.9,47.45,11.56,11.56,3.575,square,152.4,103.6,,3,101.93,1981,457,5.46,,1
"Tohamy et al., 2021",088b0424a2e92dcf4432c7e59e6c6f26,295,412,208000,2.5,3000,250,43,43,15,15,2,circle,,,12.5,1,125,1500,,11.21,,1
"Tohamy et al., 2021",0ec399db0f236c19c185fffc6ba7da01,295,412,208000,2.5,3000,250,43,43,15,15,2,circle,,,87.5,1,125,1500,,9.93,,1
"Tohamy et al., 2021",14efb1dd953af745cf4e8b2964124df8,295,412,208000,2.5,3000,250,43,43,15,15,2,circle,,,37.5,1,125,1500,,11.17,,1
"Tohamy et al., 2021",2d10bd41c6287cacd2d96b9341237d7d,295,412,208000,2.5,3000,250,43,43,15,15,2,circle,,,25,1,125,1500,,11.19,,1
"Tohamy et al., 2021",31bd65db2142b125bca30eb4cfeba83b,295,412,208000,2.5,3000,250,43,43,15,15,2,circle,,,50,1,125,1500,,11.1,,1
"Tohamy et al., 2021",3b9f53776fa6b4019be4d92c6efc8329,295,412,208000,2.5,3000,250,43,43,15,15,2,circle,,,75,1,125,1500,,10.5,,1
"Tohamy et al., 2021",648e0a591eba21ed3cb03a2b6867ce75,295,412,208000,2.5,3000,250,43,43,15,15,2,circle,,,100,1,125,1500,,9.07,,1
"Tohamy et al., 2021",e21e28877ef4c7617aeee4a6c0ede594,295,412,208000,2.5,3000,250,43,43,15,15,2,circle,,,62.5,1,125,1500,,10.87,,1
"Zhao et al., 2019",06322c5a086d500794da26efc59975da,398,544,206000,2,3600,199.8,79.3,79.4,19.2,19.3,6,rectangle,99.8,159.8666667,,3,99.9,299.8,299.9,13.271,,1
"Zhao et al., 2019",068ae09fcf72455eb2228eedd6143d4f,398,544,206000,2,3600,199.6,79.3,79.5,39.1,39.2,6,no_hole,,,,,,,,17.404,,1
"Zhao et al., 2019",0987efc39f65579dee490f43935a967a,398,544,206000,2.5,3600,220,80,80,40,40,7.5,rectangle,100,44,,3,110,300,300,25.24,,1
"Zhao et al., 2019",0e4faa563c5f022cdc0501c10fe5f856,398,544,206000,2,3600,220,80,80,20,20,6,rectangle,100,44,,3,110,300,300,14.99,,1
"Zhao et al., 2019",1591b004b2c3080d9d0bdf2c8704cc7f,398,544,206000,2.5,3600,220,80,80,20,20,7.5,rectangle,100,132,,3,110,300,300,18.7,,1
"Zhao et al., 2019",175bff898b7d4d9043a7a0acaef1cc19,398,544,206000,2.5,3600,180,80,80,40,40,7.5,rectangle,100,72,,3,90,300,300,18.89,,1
"Zhao et al., 2019",18d2830f276105cd3eb70c4858f1b27f,398,544,206000,3,3600,200,80,80,20,20,9,rectangle,100,120,,3,100,300,300,20.79,,1
"Zhao et al., 2019",1b7d2bfdd5ce7907c31394b37e00dccf,398,544,206000,3,3600,180,80,80,40,40,9,rectangle,100,36,,3,90,300,300,24.45,,1
"Zhao et al., 2019",1e45044e42ea562de72f51fb31eb25de,398,544,206000,3,3600,200,80,80,20,20,9,rectangle,100,160,,3,100,300,300,18.52,,1
"Zhao et al., 2019",21a9fbeb0442f00ce25fa35c3856c72a,398,544,206000,2.5,3600,200,80,80,20,20,7.5,rectangle,100,80,,3,100,300,300,17.61,,1
"Zhao et al., 2019",2af698cbfbfefe28ede04be34c3150ae,398,544,206000,2.5,3600,180,80,80,40,40,7.5,rectangle,100,144,,3,90,300,300,14.89,,1
"Zhao et al., 2019",2d27cde6b0a28b02b9a8c20dad5d4a91,398,544,206000,2,3600,220,80,80,40,40,6,rectangle,100,88,,3,110,300,300,18.28,,1
"Zhao et al., 2019",30cf7b5c08149ccf697034cbecaa5687,398,544,206000,3,3600,180,80,80,40,40,9,rectangle,100,108,,3,90,300,300,21.6,,1
"Zhao et al., 2019",328f1c71ef8d6e0309a72d738fd6a0c9,398,544,206000,2.5,3600,220,80,80,20,20,7.5,rectangle,100,176,,3,110,300,300,16.98,,1
"Zhao et al., 2019",34c1bb6d0be54c53de2751ada12ae03d,398,544,206000,2,3600,200,80,80,40,40,6,rectangle,100,40,,3,100,300,300,16.68,,1
"Zhao et al., 2019",36ca7337e454fbfe520b2da73acd9887,398,544,206000,2,3600,199.7,79.6,79.6,19.1,19.1,6,no_hole,,,,,,,,15.227,,1
"Zhao et al., 2019",3b164ecde8890357a415a0579b77a4e0,398,544,206000,3,3600,200,80,80,40,40,9,rectangle,100,120,,3,100,300,300,24.91,,1
"Zhao et al., 2019",3d1b8fe13b8bf4abf273f98a9f7af896,398,544,206000,3,3600,200,80,80,40,40,9,rectangle,100,40,,3,100,300,300,28.05,,1
"Zhao et al., 2019",3e22f5071afd564d229ef936c827f3c2,398,544,206000,3,3600,200,80,80,40,40,9,rectangle,100,80,,3,100,300,300,27.03,,1
"Zhao et al., 2019",40c0930f8be4f89a90af7cb624f4c9dc,398,544,206000,2,3600,180,80,80,20,20,6,rectangle,100,36,,3,90,300,300,11.82,,1
"Zhao et al., 2019",4271cdafa5ba1db0181ab710c191cfab,398,544,206000,3,3600,220,80,80,40,40,9,rectangle,100,88,,3,110,300,300,30.37,,1
"Zhao et al., 2019",4478af44f1337f5553ef7a0ba9c071ff,398,544,206000,2.5,3600,200,80,80,40,40,7.5,rectangle,100,160,,3,100,300,300,16.74,,1
"Zhao et al., 2019",4550546d4107089c8c56a7b8aa8af436,398,544,206000,3,3600,180,80,80,40,40,9,rectangle,100,144,,3,90,300,300,19.03,,1
"Zhao et al., 2019",456104133934a6c37d52697eb9c1359e,398,544,206000,2.5,3600,220,80,80,20,20,7.5,rectangle,100,88,,3,110,300,300,19.55,,1
"Zhao et al., 2019",47b39eff655be61ac84c9bc326fa7111,398,544,206000,2,3600,220,80,80,40,40,6,rectangle,100,44,,3,110,300,300,18.69,,1
"Zhao et al., 2019",4c326c3408244af41c963ff7ce27df71,398,544,206000,3,3600,220,80,80,40,40,9,rectangle,100,44,,3,110,300,300,31.57,,1
"Zhao et al., 2019",4f63a4c6d87b986b18c0ca706ef724c9,398,544,206000,2,3600,180,80,80,40,40,6,rectangle,100,72,,3,90,300,300,14.06,,1
"Zhao et al., 2019",51a5e602ebc4cd08f7534636df8c901e,398,544,206000,3,3600,220,80,80,40,40,9,rectangle,100,176,,3,110,300,300,25.09,,1
"Zhao et al., 2019",521d7ed45d706f996619df2045b44815,398,544,206000,2,3600,220,80,80,20,20,6,rectangle,100,176,,3,110,300,300,12.93,,1
"Zhao et al., 2019",552904d788c865bbd47be86f4f53ae9b,398,544,206000,2.5,3600,200,80,80,40,40,7.5,rectangle,100,80,,3,100,300,300,21.78,,1
"Zhao et al., 2019",569932c96a3c239a00859735b5494a43,398,544,206000,2,3600,220,80,80,40,40,6,rectangle,100,176,,3,110,300,300,14.32,,1
"Zhao et al., 2019",5a62f459df4f346d321dde95ab61efd5,398,544,206000,3,3600,220,80,80,40,40,9,rectangle,100,160,,3,110,300,300,22.28,,1
"Zhao et al., 2019",5afab0dcdc0876eee2080b9f8456e8ac,398,544,206000,3,3600,180,80,80,20,20,9,rectangle,100,72,,3,90,300,300,19.39,,1
"Zhao et al., 2019",5fc7a7e356be9ad3f4e640ab3197270b,398,544,206000,3,3600,220,80,80,20,20,9,rectangle,100,44,,3,110,300,300,25.44,,1
"Zhao et al., 2019",62b4ea8ca4f1e7fe657c57bbc3cbc259,398,544,206000,2.5,3600,180,80,80,20,20,7.5,rectangle,100,36,,3,90,300,300,16.18,,1
"Zhao et al., 2019",63bc20c8167694c2841bc1bbb3fc0370,398,544,206000,2.5,3600,220,80,80,40,40,7.5,rectangle,100,132,,3,110,300,300,22.63,,1
"Zhao et al., 2019",649a24c7f6eab732deca4ff380f6e6f3,398,544,206000,3,3600,180,80,80,40,40,9,rectangle,100,72,,3,90,300,300,23.32,,1
"Zhao et al., 2019",64f15e0c70e96162c74366638a21ce7f,398,544,206000,3,3600,200,80,80,20,20,9,rectangle,100,80,,3,100,300,300,22.04,,1
"Zhao et al., 2019",669128f793642a7ee7a123b91176eaa0,398,544,206000,2,3600,180,80,80,40,40,6,rectangle,100,144,,3,90,300,300,10.83,,1
"Zhao et al., 2019",68387d50c5112462ab94710f6abaef34,398,544,206000,2,3600,199.3,79.4,79.3,39.5,39.4,6,rectangle,99.8,119.8333333,,3,99.65,299.8,299.9,15.154,,1
"Zhao et al., 2019",6944f12f0a95dc522770ea65c45c0f35,398,544,206000,2,3600,200,80,80,40,40,6,rectangle,100,120,,3,100,300,300,15.15,,1
"Zhao et al., 2019",6dce4d0b1aed8783a066887ad98ffe8b,398,544,206000,2,3600,180,80,80,20,20,6,rectangle,100,108,,3,90,300,300,11.08,,1
"Zhao et al., 2019",6fd53fd6ad4438b95a75b57f7f2f7a85,398,544,206000,2,3600,199.2,80.3,79.8,39.7,39.6,6,rectangle,99.93333333,79.86666667,,3,99.6,299.9333333,299.9666667,16.333,,1
"Zhao et al., 2019",73da0ce24ed41d98ff836c1e44304cb1,398,544,206000,2,3600,180,80,80,20,20,6,rectangle,100,144,,3,90,300,300,10.16,,1
"Zhao et al., 2019",74245a9f65772b6d27897d5d15856ea8,398,544,206000,2.5,3600,180,80,80,40,40,7.5,rectangle,100,108,,3,90,300,300,16.96,,1
"Zhao et al., 2019",748f8918ab589ce4a490dc88a09a083c,398,544,206000,2,3600,199.4,79.6,79.6,19.4,19.6,6,rectangle,99.96666667,119.8666667,,3,99.7,299.9666667,299.9833333,13.8,,1
"Zhao et al., 2019",765aa3e6563b346296bb47d1021ee59b,398,544,206000,2,3600,199.4,79.7,79.4,38.9,39.2,6,no_hole,,,,,,,,17.404,,1
