JOURNAL TITLE,geometry_signature,Fy,Fu,E,t,L,bw,bf1,bf2,bl1,bl2,r,HOLE SHAPE,l hole,h hole,r hole,Number Of Holes in Channel,Distance from top to centre of first hole Y,Distance from left  to centre of first hole X,Centre to centre distance between adjesent holes in X direction  Sx,target_mean,target_std,replicate_count
"Chandramohan et al., 2025",43f60415e409cfe65620acb92d805d15,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,362.5,145,72.5,3,145,2613.75,386.25,15.5975,1.3876689086377918,4
"Chandramohan et al., 2025",4569f04825bf153a0a71a1c7332330d3,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,362.5,145,72.5,1,145,3000,,16.0875,1.2272021023450048,4
"Chandramohan et al., 2025",45b8b2684ec6c674633f38a517f85b68,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,290,145,72.5,1,145,3000,,16.677500000000002,1.1269834367312892,4
"Chandramohan et al., 2025",47faf717b3981dc3fb3e6bb24ab6cd65,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,522,174,87,3,145,2853,147,13.27,1.2607405231318083,4
"Chandramohan et al., 2025",4a3b5d46e3e56b67a0534c3407129cca,347,424.6,200000,2.11,4000,290,65,65,15,15,6.33,elongated,232,116,58,1,145,2000,,10.105,0.9579317999384572,4
"Chandramohan et al., 2025",58a87aa47bf76dabb1dbabb997624f4f,347,424.6,200000,2.11,4000,290,65,65,15,15,6.33,elongated,290,145,72.5,1,145,2000,,17.35,1.514001321003386,4
"Chandramohan et al., 2025",59fecd56b78272f1d5e6a484b879111d,347,424.6,200000,1.83,4000,240,65,65,15,15,5.49,elongated,288,144,72,1,120,2000,,10.9925,1.348440457219623,4
"Chandramohan et al., 2025",5a518b3aee9b0e1de4087aca08657ee4,347,424.6,200000,2.11,4000,290,65,65,15,15,6.33,elongated,348,174,87,1,145,2000,,17.6,1.427515323910746,4
"Chandramohan et al., 2025",5e3949193432d06b06987eddfa4249c1,347,424.6,200000,2.11,6000,290,65,65,15,15,6.33,elongated,290,145,72.5,3,145,2505,495,16.3425,1.1313229718637678,4
"Chandramohan et al., 2025",6fd7f9f6f4f02162595aa7e4e1dc547e,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,360,120,60,1,120,3000,,10.2575,0.7185343879499901,4
"Chandramohan et al., 2025",71571da1f7eb7125db563b7f1600c8ac,347,424.6,200000,1.83,6000,240,65,65,15,15,5.49,elongated,432,144,72,1,120,3000,,9.295,0.285715476187996,4
